Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
luminous-toughx-trolley-tx100l,Luminous ToughX trolley TX100L,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Luminous ToughX Trolley?</h3>
<p>The ToughX Trolley is Luminous's engineered inverter-battery stand — designed to protect your investment, save floor space, and keep your setup safe and organized.</p>
<ul> <li><strong>Heavy-duty metal construction</strong> — Holds inverter on top, battery below</li> <li><strong>Powder-coated finish</strong> — Rust-resistant, looks premium</li> <li><strong>Wheels included</strong> — Move your setup easily when needed</li> <li><strong>Universal fit</strong> — Compatible with all Luminous inverters and standard batteries</li> <li><strong>Floor protection</strong> — Keeps battery acid-leak risk away from floor</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × ToughX trolley TX100L Trolley (assembly required)</li> <li>Assembly instructions & hardware</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Accessories,"Luminous, Authorized Dealer, Accessories, Trolleys, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-TOUGHX-TROLLEY-TX100L,6000,shopify,10,deny,manual,1499,1700,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/706889a7-13cb-4091-ad97-f4ef30e052bc_ToughX%20trolly%20TX100L.png,1,Luminous ToughX trolley TX100L - Official Luminous Product,FALSE,Luminous ToughX trolley TX100L — Authorized Dealer | Garg Electronics,"Buy genuine Luminous ToughX trolley TX100L online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-TOUGHX-TROLLEY-TX100L,new,FALSE,,g,,,TRUE,1499,1700,active
luminous-toughx-trolley-tx200l,Luminous ToughX trolley TX200L,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Luminous ToughX Trolley?</h3>
<p>The ToughX Trolley is Luminous's engineered inverter-battery stand — designed to protect your investment, save floor space, and keep your setup safe and organized.</p>
<ul> <li><strong>Heavy-duty metal construction</strong> — Holds inverter on top, battery below</li> <li><strong>Powder-coated finish</strong> — Rust-resistant, looks premium</li> <li><strong>Wheels included</strong> — Move your setup easily when needed</li> <li><strong>Universal fit</strong> — Compatible with all Luminous inverters and standard batteries</li> <li><strong>Floor protection</strong> — Keeps battery acid-leak risk away from floor</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × ToughX trolley TX200L Trolley (assembly required)</li> <li>Assembly instructions & hardware</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Accessories,"Luminous, Authorized Dealer, Accessories, Trolleys, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-TOUGHX-TROLLEY-TX200L,6000,shopify,10,deny,manual,1989,2100,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/408f6eb2-a089-48dd-8905-b1ac8ab7c2e8_ToughX-trolly-TX200L.png,1,Luminous ToughX trolley TX200L - Official Luminous Product,FALSE,Luminous ToughX trolley TX200L — Authorized Dealer | Garg Electronics,"Buy genuine Luminous ToughX trolley TX200L online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-TOUGHX-TROLLEY-TX200L,new,FALSE,,g,,,TRUE,1989,2100,active
luminous-optimus-2800,Luminous Optimus 2800+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 2800+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-2800,15000,shopify,10,deny,manual,16799,25990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/ea5b21bf-41c9-4045-a319-55d015257d7d_1.png,1,Luminous Optimus 2800+ - Official Luminous Product,FALSE,Luminous Optimus 2800+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 2800+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-2800,new,FALSE,,g,,,TRUE,16799,25990,active
luminous-optimus-3500,Luminous Optimus 3500+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 3500+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-3500,15000,shopify,10,deny,manual,19399,30990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/cca708cb-ebfa-4796-907b-6383b612a2eb_Untitled_design__4_-removebg-preview_11zon.png,1,Luminous Optimus 3500+ - Official Luminous Product,FALSE,Luminous Optimus 3500+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 3500+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-3500,new,FALSE,,g,,,TRUE,19399,30990,active
luminous-optimus-4300,Luminous Optimus 4300+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 4300+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-4300,15000,shopify,10,deny,manual,28499,34490,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/1bbbec54-92ab-41c5-8f14-b457bb3f3a1e_optimus4300plus.png,1,Luminous Optimus 4300+ - Official Luminous Product,FALSE,Luminous Optimus 4300+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 4300+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-4300,new,FALSE,,g,,,TRUE,28499,34490,active
luminous-optimus-3800,Luminous Optimus 3800+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 3800+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-3800,15000,shopify,10,deny,manual,20599,34990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/b9048dac-9409-462d-845b-5cc4d27fb4b5_Optimus%203800%2B%20inverter-1.png,1,Luminous Optimus 3800+ - Official Luminous Product,FALSE,Luminous Optimus 3800+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 3800+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-3800,new,FALSE,,g,,,TRUE,20599,34990,active
luminous-optimus-4500,Luminous Optimus 4500+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 4500+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-4500,15000,shopify,10,deny,manual,24299,39990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/02ae88af-2769-4fe6-81c8-77d45939c0fc_Optimus-4500-3.png,1,Luminous Optimus 4500+ - Official Luminous Product,FALSE,Luminous Optimus 4500+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 4500+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-4500,new,FALSE,,g,,,TRUE,24299,39990,active
luminous-optimus-6000,Luminous Optimus 6000+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 6000+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-6000,15000,shopify,10,deny,manual,34299,49990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/6be64a61-258b-4096-9b9c-ae600fd03718_48c57963-7dc2-4f2d-a427-7cd7743764e1_Optimus-6000%2B-1.png,1,Luminous Optimus 6000+ - Official Luminous Product,FALSE,Luminous Optimus 6000+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 6000+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-6000,new,FALSE,,g,,,TRUE,34299,49990,active
luminous-optimus-6500,Luminous Optimus 6500+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 6500+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-6500,15000,shopify,10,deny,manual,35499,59990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/21d920e6-9650-4049-ae57-af19cb0caf9c_Optimus-6500-F-2.png,1,Luminous Optimus 6500+ - Official Luminous Product,FALSE,Luminous Optimus 6500+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 6500+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-6500,new,FALSE,,g,,,TRUE,35499,59990,active
luminous-optimus-8000,Luminous Optimus 8000+,"<p><strong>Authorized Luminous Dealer</strong> — 100% Genuine with Pan-India Warranty</p>
<h3>Why Optimus High Capacity?</h3>
<p>Luminous Optimus series is engineered for heavy-duty power backup — perfect for larger homes, shops, offices, clinics, and commercial spaces where uninterrupted power is critical.</p>
<ul> <li><strong>Higher load handling</strong> — Run AC, fridge, motor, deep freezer with ease</li> <li><strong>Pure sine wave output</strong> — Safe for sensitive electronics</li> <li><strong>LCD display</strong> — Shows backup time, battery status, load percentage</li> <li><strong>Supports all battery types</strong> — Flat, Tubular, SMF, Lithium</li> <li><strong>Built for Indian conditions</strong> — Wide input voltage range, thermal protection</li> <li><strong>2-Year Luminous Warranty</strong> — Serviced through 500+ authorized service centers pan-India</li>
</ul>
<h3>What's in the Box</h3>
<ul> <li>1 × Optimus 8000+ Inverter unit</li> <li>1 × Warranty card (Luminous official)</li> <li>1 × User manual</li> <li>1 × Battery connection wires (where applicable)</li>
</ul>
<h3>About Garg Electronics</h3>
<p>Garg Electronics is a Brand of Garg Furniture House (GSTIN: 03AFMPK5134N1Z9) — an <strong>authorized online dealer of Luminous Power Technologies</strong>. We dispatch directly from our authorized store in Kotkapura, Punjab with the original Luminous factory seal, warranty card, and complete paperwork. Your warranty is serviced through Luminous's official pan-India network of 500+ service centers.</p>
<h3>Delivery & Payment</h3>
<ul> <li>✓ Pan-India Delivery via Shiprocket</li> <li>✓ Prepaid via Razorpay (UPI / Cards / Netbanking / Wallets / EMI)</li> <li>✓ COD available with 10% advance (balance on delivery)</li> <li>✓ Free shipping on orders above ₹5,000</li>
</ul>
<h3>Installation Support</h3>
<p>Free installation by Luminous's authorized service partner in your city — register your product at luminousindia.com/warranty-registration after delivery.</p>",Luminous,Electronics > Electrical Supplies > Power,Inverters,"Luminous, Authorized Dealer, Inverters, High Capacity Inverters, Genuine Products, Pan-India Warranty",TRUE,Title,Default Title,,,,,LUM-OPTIMUS-8000,15000,shopify,10,deny,manual,70999,99990,TRUE,TRUE,,https://lumprodsta.blob.core.windows.net/prodcontainer/Images/cb1588ea-9d89-40ff-b563-415e244afb0b_e3dba617-00fe-4829-a812-7200bf7ae7e0_Optimus-8000%2B-1.png,1,Luminous Optimus 8000+ - Official Luminous Product,FALSE,Luminous Optimus 8000+ — Authorized Dealer | Garg Electronics,"Buy genuine Luminous Optimus 8000+ online from Garg Electronics, authorized Luminous dealer. Pan-India warranty, free shipping, cash on delivery available. Direct dispatch from authorized store.",Electronics > Electrical Supplies > Power,unisex,adult,LUM-OPTIMUS-8000,new,FALSE,,g,,,TRUE,70999,99990,active
